Contributor,Numbers of comments,contribution
laanwj,3367,18.0468%
sipa,1220,6.5391%
Diapolo,964,5.1670%
MarcoFalke,856,4.5881%
jonasschnelli,796,4.2665%
luke-jr,478,2.5620%
gavinandresen,442,2.3691%
TheBlueMatt,409,2.1922%
gmaxwell,379,2.0314%
fanquake,369,1.9778%
theuni,340,1.8224%
paveljanik,338,1.8117%
rebroad,303,1.6241%
ghost,242,1.2971%
dooglus,224,1.2006%
jgarzik,198,1.0613%
achow101,184,0.9862%
jnewbery,153,0.8201%
Sjors,106,0.5682%
promag,91,0.4878%
MeshCollider,89,0.4770%
morcos,81,0.4342%
dcousens,75,0.4020%
sdaftuar,70,0.3752%
NicolasDorier,69,0.3698%
RHavar,63,0.3377%
globaltoken,58,0.3109%
ryanofsky,55,0.2948%
unsystemizer,55,0.2948%
pstratem,55,0.2948%
alexwaters,52,0.2787%
int03h,50,0.2680%
wtogami,46,0.2466%
ken2812221,42,0.2251%
petertodd,41,0.2198%
GSPP,40,0.2144%
ciyam,38,0.2037%
Willtech,36,0.1930%
burger2,36,0.1930%
dexX7,34,0.1822%
cozz,32,0.1715%
practicalswift,31,0.1662%
fresheneesz,31,0.1662%
tcatm,31,0.1662%
instagibbs,29,0.1554%
jlopp,29,0.1554%
sipsorcery,28,0.1501%
schildbach,28,0.1501%
Lohoris,28,0.1501%
kallewoof,27,0.1447%
itoffshore,27,0.1447%
ajweiss,26,0.1394%
domob1812,25,0.1340%
Leviathn,25,0.1340%
qubez,25,0.1340%
super3,24,0.1286%
nopara73,23,0.1233%
Empact,23,0.1233%
Michagogo,23,0.1233%
mikehearn,23,0.1233%
knoxcard,22,0.1179%
21E14,22,0.1179%
ptschip,22,0.1179%
rofl0r,22,0.1179%
JokerCatz,21,0.1126%
Zenitur,21,0.1126%
dennis97519,21,0.1126%
dscotese,20,0.1072%
prusnak,19,0.1018%
eN0Rm,19,0.1018%
rifaterdemsahin,19,0.1018%
Ayms,18,0.0965%
jamesob,18,0.0965%
mruddy,18,0.0965%
kazcw,18,0.0965%
wodry,17,0.0911%
ABISprotocol,17,0.0911%
vayvanne,17,0.0911%
SergioDemianLerner,17,0.0911%
rdponticelli,17,0.0911%
ashleyholman,17,0.0911%
pinheadmz,16,0.0858%
lovesh,16,0.0858%
ericpashman,16,0.0858%
toffoo,16,0.0858%
krishKM,16,0.0858%
Varunram,15,0.0804%
number9387,15,0.0804%
FabioCarpi,15,0.0804%
LongShao007,15,0.0804%
benjyz,15,0.0804%
vindicatorr,15,0.0804%
BitpopCoin,15,0.0804%
dgenr8,15,0.0804%
leofidus,15,0.0804%
graingert,15,0.0804%
yellowcoin,15,0.0804%
molxyz,14,0.0750%
AkioNak,14,0.0750%
phuongnd08,14,0.0750%
Xekyo,14,0.0750%
ondra-novak,14,0.0750%
christophebiocca,14,0.0750%
goldbit89,14,0.0750%
jeffrade,13,0.0697%
flack,13,0.0697%
GrumpyKiitty,13,0.0697%
bolekC,13,0.0697%
btcdrak,13,0.0697%
droark,13,0.0697%
PRabahy,13,0.0697%
subSTRATA,13,0.0697%
doged,13,0.0697%
philsong,13,0.0697%
grue0,13,0.0697%
Azulan,13,0.0697%
L2G,13,0.0697%
roconnor,13,0.0697%
jtimon,12,0.0643%
cdecker,12,0.0643%
keystrike,12,0.0643%
lichtamberg,12,0.0643%
jameshilliard,12,0.0643%
skaht,12,0.0643%
ENikS,12,0.0643%
gdm85,12,0.0643%
ThePiachu,12,0.0643%
kuzetsa,12,0.0643%
agravier,12,0.0643%
od1n,12,0.0643%
mikegogulski,12,0.0643%
mmortal03,11,0.0590%
Smiggel,11,0.0590%
praxeology-guy,11,0.0590%
fightofthedog,11,0.0590%
alexreg,11,0.0590%
miguelmorales85,11,0.0590%
welshjf,11,0.0590%
patrikr,11,0.0590%
jl2035,11,0.0590%
doodzik,11,0.0590%
EnasQ,11,0.0590%
davout,11,0.0590%
nanotube,11,0.0590%
msgilligan,10,0.0536%
marcoagner,10,0.0536%
afk11,10,0.0536%
esotericnonsense,10,0.0536%
mrwhythat,10,0.0536%
Rav3nPL,10,0.0536%
dabura667,10,0.0536%
kanzure,10,0.0536%
wkbaran,10,0.0536%
elichai,10,0.0536%
pgrigor,10,0.0536%
gubatron,10,0.0536%
molecular,10,0.0536%
robbak,10,0.0536%
grarpamp,10,0.0536%
SteveBell,10,0.0536%
coinsmith,9,0.0482%
jmcorgan,9,0.0482%
stefek99,9,0.0482%
jimhashhq,9,0.0482%
saleemrashid,9,0.0482%
kollokollo,9,0.0482%
AllanDoensen,9,0.0482%
xyzzy099,9,0.0482%
janstary,9,0.0482%
bitkevin,9,0.0482%
stefment,9,0.0482%
davecgh,9,0.0482%
error10,9,0.0482%
tomatemozarella,9,0.0482%
AliceWonderMiscreations,9,0.0482%
raedah,9,0.0482%
OverlordQ,9,0.0482%
casey,9,0.0482%
AndyCapeTown,9,0.0482%
Belkaar,9,0.0482%
bardiharborow,9,0.0482%
freewil,9,0.0482%
gastonmorixe,9,0.0482%
FourthDr,9,0.0482%
rkfg,9,0.0482%
runeksvendsen,9,0.0482%
jordanmack,9,0.0482%
thiloplanz,9,0.0482%
witten,9,0.0482%
jhyslop,9,0.0482%
jb55,8,0.0429%
jl2012,8,0.0429%
stevenroose,8,0.0429%
karel-3d,8,0.0429%
eklitzke,8,0.0429%
headhunter911,8,0.0429%
rex4539,8,0.0429%
i-rme,8,0.0429%
jobsfan,8,0.0429%
xianglanlan,8,0.0429%
mcelrath,8,0.0429%
GildedHonour,8,0.0429%
GameKyuubi,8,0.0429%
JeremyRubin,8,0.0429%
monochromec,8,0.0429%
fflo,8,0.0429%
wbchen99,8,0.0429%
mdance,8,0.0429%
kanoi,8,0.0429%
Levino,8,0.0429%
ericshawlinux,8,0.0429%
kalgecin,8,0.0429%
whitslack,8,0.0429%
tuxmaster,8,0.0429%
darkhosis,8,0.0429%
Vort,8,0.0429%
edam,8,0.0429%
Definit,8,0.0429%
finway-china,8,0.0429%
interfect,8,0.0429%
Acadian,8,0.0429%
pszturmaj,8,0.0429%
bitcoinuser,8,0.0429%
kirillkovalenko,7,0.0375%
funasty1985,7,0.0375%
linux-mining,7,0.0375%
wudigithub1,7,0.0375%
skeees,7,0.0375%
wwg2018new,7,0.0375%
bitcoinhodler,7,0.0375%
CryptAxe,7,0.0375%
PolarGo,7,0.0375%
safocl,7,0.0375%
JeremyRand,7,0.0375%
da2ce7,7,0.0375%
vogelito,7,0.0375%
diadal,7,0.0375%
binarykitchen,7,0.0375%
kirkalx,7,0.0375%
blue-onyx,7,0.0375%
mizhang,7,0.0375%
watashikokoto,7,0.0375%
ovidiu26claudiu,7,0.0375%
electricarrows0,7,0.0375%
CodeShark,7,0.0375%
wwortel,7,0.0375%
bol-van,7,0.0375%
aceriou,7,0.0375%
capitalDIGI,7,0.0375%
gappleto97,7,0.0375%
mohamedfarrag,7,0.0375%
pnagurny,7,0.0375%
maraoz,7,0.0375%
kostaz,7,0.0375%
c64e5e9e-08ce-4f7d-be39-92cf89188b45,7,0.0375%
jeremyhahn,7,0.0375%
WyseNynja,7,0.0375%
shamoons,7,0.0375%
Xenland,7,0.0375%
robzrob,7,0.0375%
jojkaart,7,0.0375%
TurkeyMan,7,0.0375%
osmosis79,7,0.0375%
Stemby,7,0.0375%
alexgenaud,7,0.0375%
sangaman,6,0.0322%
HashUnlimited,6,0.0322%
stacepellegrino,6,0.0322%
angelagilhotra,6,0.0322%
annjieching,6,0.0322%
Cantoria,6,0.0322%
cncr04s,6,0.0322%
mb300sd,6,0.0322%
Frederic94500,6,0.0322%
Bitoma,6,0.0322%
venzen,6,0.0322%
josephbisch,6,0.0322%
eriksank,6,0.0322%
dotgodly,6,0.0322%
saracen,6,0.0322%
themighty1,6,0.0322%
Giszmo,6,0.0322%
Kimax89,6,0.0322%
feathercoin2,6,0.0322%
jtoomim,6,0.0322%
rnicoll,6,0.0322%
posita,6,0.0322%
seigneur,6,0.0322%
stevenwagner,6,0.0322%
MrKrzYch00,6,0.0322%
ripper234,6,0.0322%
felipelalli,6,0.0322%
jbreher,6,0.0322%
meoso,6,0.0322%
jrick,6,0.0322%
analogic,6,0.0322%
Rezker,6,0.0322%
bananas2,6,0.0322%
ScripterRon,6,0.0322%
jalla2000,6,0.0322%
kathy007,6,0.0322%
Nerzahd,6,0.0322%
bc4-old-c-coder,6,0.0322%
kerzane,6,0.0322%
hjfreyer,6,0.0322%
enterprisey,6,0.0322%
bitcoinstarter,6,0.0322%
samholmes,6,0.0322%
SimonVrouwe,6,0.0322%
old-c-coder,6,0.0322%
vsespb,6,0.0322%
xanatos,6,0.0322%
vladgiurgiubv,6,0.0322%
ancow,6,0.0322%
joric,6,0.0322%
NYCBrit,6,0.0322%
dmgores,6,0.0322%
vasisualiy,6,0.0322%
gasteve,6,0.0322%
kristapsk,5,0.0268%
giaki3003,5,0.0268%
StayCoolDK,5,0.0268%
neptunix,5,0.0268%
passionofvc,5,0.0268%
doone57,5,0.0268%
TheCharlatan,5,0.0268%
glaksmono,5,0.0268%
AdamSEY,5,0.0268%
pedrobranco,5,0.0268%
rbndg,5,0.0268%
snomannaseem,5,0.0268%
KanoczTomas,5,0.0268%
webwakko,5,0.0268%
kyluke,5,0.0268%
eMosbat,5,0.0268%
danra,5,0.0268%
CydeWeys,5,0.0268%
shivaenigma,5,0.0268%
dwasyluk,5,0.0268%
alafax,5,0.0268%
kewde,5,0.0268%
cssxn,5,0.0268%
quentinlesceller,5,0.0268%
mezrin,5,0.0268%
mohamedfawzy96,5,0.0268%
zander,5,0.0268%
maiiz,5,0.0268%
p3yot3,5,0.0268%
ScroogeMcDuckButWithBitcoin,5,0.0268%
pavimus,5,0.0268%
jarret,5,0.0268%
GIJensen,5,0.0268%
elfring,5,0.0268%
seweso,5,0.0268%
tulip0,5,0.0268%
angjelo,5,0.0268%
asfin,5,0.0268%
dthorpe,5,0.0268%
flound1129,5,0.0268%
kapiliitr,5,0.0268%
nextgenthemes,5,0.0268%
sime,5,0.0268%
abusafwan,5,0.0268%
DanielFragaBR,5,0.0268%
sinetek,5,0.0268%
jprichardson,5,0.0268%
mikach,5,0.0268%
brsq,5,0.0268%
Kirvx,5,0.0268%
DoooX,5,0.0268%
conrada,5,0.0268%
Altoidnerd,5,0.0268%
espringe,5,0.0268%
hank,5,0.0268%
codefinderin,5,0.0268%
martinwguy,5,0.0268%
imbolo,5,0.0268%
oblongmeteor,5,0.0268%
Suffice,5,0.0268%
weex,5,0.0268%
mmalecki,5,0.0268%
davispuh,5,0.0268%
Hardcore-fs,5,0.0268%
falinatecas,5,0.0268%
jeffmendoza,5,0.0268%
dvdkhlng,5,0.0268%
ContinuumQ,5,0.0268%
PartTimeLegend,5,0.0268%
strk,5,0.0268%
apetersson,5,0.0268%
mhredmond21,5,0.0268%
sgaltsev,5,0.0268%
sgornick,5,0.0268%
olea,5,0.0268%
iongchun,5,0.0268%
stuhood,5,0.0268%
jimholt03,5,0.0268%
tril0byte,5,0.0268%
3s3s,4,0.0214%
vinnyvoo,4,0.0214%
bunnguyen2410,4,0.0214%
alexeyneu,4,0.0214%
efvhi,4,0.0214%
askari01,4,0.0214%
grim-trigger,4,0.0214%
nerdDan,4,0.0214%
MaherBTA,4,0.0214%
cyssxt,4,0.0214%
lukepighetti,4,0.0214%
randolf,4,0.0214%
lsching17,4,0.0214%
Raulo,4,0.0214%
TheKogs,4,0.0214%
RossClelland,4,0.0214%
clemtaylor,4,0.0214%
ak-19,4,0.0214%
alphaaurigae,4,0.0214%
shuuchen,4,0.0214%
kangasbros,4,0.0214%
DarthJahus,4,0.0214%
juestr,4,0.0214%
donaloconnor,4,0.0214%
doersf,4,0.0214%
RajaHassan,4,0.0214%
LordAndrei,4,0.0214%
possientis,4,0.0214%
drkskwlkr,4,0.0214%
Aristondo,4,0.0214%
wostl,4,0.0214%
