commenter1,commenter2,weights
Diapolo,laanwj,410
laanwj,sipa,242
jonasschnelli,laanwj,196
MarcoFalke,laanwj,169
laanwj,luke-jr,137
laanwj,rebroad,117
laanwj,theuni,111
gmaxwell,laanwj,101
Diapolo,sipa,98
TheBlueMatt,laanwj,87
dooglus,laanwj,86
rebroad,sipa,83
MarcoFalke,jonasschnelli,76
luke-jr,sipa,76
ghost,laanwj,72
gavinandresen,laanwj,72
laanwj,paveljanik,71
fanquake,laanwj,63
jgarzik,laanwj,62
MarcoFalke,sipa,58
ghost,sipa,56
gavinandresen,sipa,54
jonasschnelli,sipa,50
jgarzik,sipa,43
Diapolo,luke-jr,40
Diapolo,gavinandresen,40
gmaxwell,sipa,38
Diapolo,gmaxwell,37
TheBlueMatt,sipa,35
int03h,laanwj,34
MarcoFalke,paveljanik,33
jonasschnelli,theuni,32
Diapolo,jonasschnelli,32
MarcoFalke,jnewbery,31
fanquake,theuni,31
jonasschnelli,luke-jr,31
ciyam,sipa,30
Diapolo,rebroad,29
achow101,laanwj,28
jonasschnelli,paveljanik,28
fanquake,jonasschnelli,27
gmaxwell,rebroad,26
Diapolo,ghost,26
jnewbery,laanwj,25
laanwj,unsystemizer,25
Diapolo,dooglus,25
TheBlueMatt,yellowcoin,25
RHavar,morcos,23
gavinandresen,luke-jr,23
cozz,laanwj,22
gavinandresen,gmaxwell,22
MarcoFalke,achow101,21
ghost,luke-jr,21
dcousens,laanwj,21
Diapolo,burger2,21
achow101,dooglus,20
paveljanik,theuni,20
dexX7,laanwj,20
dooglus,gavinandresen,20
MarcoFalke,fanquake,19
MarcoFalke,TheBlueMatt,19
MarcoFalke,Sjors,19
laanwj,sdaftuar,19
gmaxwell,luke-jr,19
MarcoFalke,ghost,18
laanwj,ryanofsky,18
TheBlueMatt,luke-jr,18
Diapolo,dscotese,18
Diapolo,fanquake,17
laanwj,super3,17
laanwj,schildbach,17
ghost,jonasschnelli,16
Diapolo,TheBlueMatt,16
laanwj,promag,15
achow101,sipa,15
Michagogo,laanwj,15
dooglus,luke-jr,15
paveljanik,sipa,15
TheBlueMatt,gavinandresen,15
itoffshore,laanwj,15
Diapolo,dennis97519,15
gmaxwell,rofl0r,15
Diapolo,agravier,15
burger2,laanwj,15
MarcoFalke,RHavar,14
Sjors,jonasschnelli,14
TheBlueMatt,jonasschnelli,14
MarcoFalke,rebroad,14
dooglus,gmaxwell,14
sdaftuar,sipa,14
fresheneesz,sipa,14
ghost,theuni,14
lovesh,paveljanik,14
jonasschnelli,tuxmaster,14
gavinandresen,theuni,14
laanwj,rifaterdemsahin,14
Diapolo,EnasQ,14
graingert,laanwj,14
MarcoFalke,promag,13
MarcoFalke,luke-jr,13
MarcoFalke,MeshCollider,13
NicolasDorier,laanwj,13
laanwj,morcos,13
jgarzik,luke-jr,13
OverlordQ,paveljanik,13
doodzik,laanwj,13
gastonmorixe,laanwj,13
Lohoris,gavinandresen,13
achow101,jonasschnelli,12
MarcoFalke,sdaftuar,12
dooglus,sipa,12
dooglus,jonasschnelli,12
Sjors,luke-jr,12
jlopp,laanwj,12
GSPP,laanwj,12
LongShao007,jonasschnelli,12
2.10E+15,laanwj,12
laanwj,vindicatorr,12
lovesh,theuni,12
laanwj,qubez,12
pnagurny,theuni,12
Diapolo,jgarzik,12
krishKM,sipa,12
Sjors,laanwj,11
MarcoFalke,theuni,11
saleemrashid,sipa,11
fanquake,luke-jr,11
MeshCollider,laanwj,11
TheBlueMatt,theuni,11
achow101,theuni,11
praxeology-guy,sipa,11
benjyz,laanwj,11
gmaxwell,jgarzik,11
gavinandresen,jonasschnelli,11
ericpashman,paveljanik,11
Diapolo,theuni,11
gavinandresen,jgarzik,11
Diapolo,od1n,11
gavinandresen,mikegogulski,11
nopara73,promag,10
Sjors,jnewbery,10
dcousens,jonasschnelli,10
TheBlueMatt,phuongnd08,10
globaltoken,jonasschnelli,10
GildedHonour,sipa,10
MarcoFalke,morcos,10
TheBlueMatt,ghost,10
dcousens,sipa,10
blue-onyx,paveljanik,10
dotgodly,paveljanik,10
jonasschnelli,ptschip,10
eN0Rm,paveljanik,10
laanwj,patrikr,10
gavinandresen,rebroad,10
gavinandresen,ghost,10
kallewoof,practicalswift,9
GSPP,MarcoFalke,9
achow101,number9387,9
MarcoFalke,dcousens,9
keystrike,laanwj,9
paveljanik,stefment,9
RHavar,gmaxwell,9
MarcoFalke,fightofthedog,9
Levino,laanwj,9
jlopp,paveljanik,9
laanwj,wtogami,9
capitalDIGI,paveljanik,9
maraoz,theuni,9
gdm85,laanwj,9
laanwj,mikehearn,9
ghost,gmaxwell,9
Vort,laanwj,9
gmaxwell,oblongmeteor,9
Diapolo,schildbach,9
Diapolo,pszturmaj,9
TheBlueMatt,witten,9
nopara73,sipa,8
molxyz,sipsorcery,8
Ayms,MarcoFalke,8
promag,sipa,8
MarcoFalke,Willtech,8
bolekC,snomannaseem,8
dooglus,ryanofsky,8
jonasschnelli,knoxcard,8
TheBlueMatt,gmaxwell,8
dooglus,sdaftuar,8
jnewbery,paveljanik,8
sipa,theuni,8
NicolasDorier,morcos,8
cssxn,jonasschnelli,8
laanwj,pinheadmz,8
achow101,ghost,8
FabioCarpi,MarcoFalke,8
fanquake,paveljanik,8
GSPP,sipa,8
petertodd,sipa,8
laanwj,pstratem,8
pstratem,sipa,8
jonasschnelli,prusnak,8
elfring,laanwj,8
laanwj,raedah,8
fresheneesz,theuni,8
luke-jr,ondra-novak,8
ericpashman,theuni,8
jgarzik,pgrigor,8
analogic,laanwj,8
itoffshore,jl2035,8
grue0,laanwj,8
goldbit89,laanwj,8
Diapolo,subSTRATA,8
gmaxwell,vladgiurgiubv,8
interfect,laanwj,8
Diapolo,krishKM,8
TheBlueMatt,alexwaters,8
TheBlueMatt,jimholt03,8
MarcoFalke,giaki3003,7
Sjors,ken2812221,7
fanquake,sipa,7
angelagilhotra,ken2812221,7
jnewbery,ryanofsky,7
Willtech,number9387,7
rex4539,sipa,7
pinheadmz,sipa,7
NicolasDorier,sipa,7
Sjors,TheBlueMatt,7
TheBlueMatt,dcousens,7
jonasschnelli,phuongnd08,7
globaltoken,jimhashhq,7
achow101,globaltoken,7
jonasschnelli,morcos,7
ghost,unsystemizer,7
MarcoFalke,gmaxwell,7
TheBlueMatt,monochromec,7
gmaxwell,jonasschnelli,7
dcousens,gmaxwell,7
jonasschnelli,rebroad,7
kazcw,laanwj,7
jonasschnelli,sdaftuar,7
NicolasDorier,wkbaran,7
kanoi,sipa,7
droark,laanwj,7
PRabahy,laanwj,7
GIJensen,laanwj,7
MarcoFalke,doged,7
angjelo,parazyd,7
MarcoFalke,asfin,7
paveljanik,ptschip,7
josephbisch,kapiliitr,7
dcousens,wwortel,7
kalgecin,paveljanik,7
ajweiss,laanwj,7
laanwj,seigneur,7
laanwj,welshjf,7
BitpopCoin,jonasschnelli,7
ajweiss,jlopp,7
DanielFragaBR,theuni,7
ENikS,sipa,7
sipa,taichitai,7
ashleyholman,laanwj,7
laanwj,leofidus,7
Rezker,laanwj,7
ThePiachu,luke-jr,7
kathy007,laanwj,7
Diapolo,dsattler,7
davispuh,laanwj,7
hjfreyer,kerzane,7
Diapolo,L2G,7
Definit,rebroad,7
luke-jr,vsespb,7
burger2,luke-jr,7
Diapolo,mhredmond21,7
dooglus,rebroad,7
cdecker,tcatm,7
RHavar,sipa,6
jnewbery,sipa,6
fanquake,ken2812221,6
Ayms,sipa,6
domob1812,promag,6
kallewoof,laanwj,6
Empact,stacepellegrino,6
Empact,MarcoFalke,6
MarcoFalke,dooglus,6
MarcoFalke,mruddy,6
flack,laanwj,6
MarcoFalke,NicolasDorier,6
instagibbs,jnewbery,6
TheBlueMatt,fanquake,6
MarcoFalke,jeffrade,6
TheBlueMatt,dooglus,6
laanwj,sipsorcery,6
achow101,jnewbery,6
jonasschnelli,juestr,6
