Contributor,Numbers of comments
MeshCollider,89
wuchiachih,2
sipa,1220
3s3s,4
ch4ot1c,3
vinnyvoo,4
dmchess,1
DocOBITCOIN,1
promag,91
hamnaz,2
fanquake,369
bunnguyen2410,4
MarcoFalke,856
ken2812221,42
e-nexus,3
jonasschnelli,796
msgilligan,10
Crypto2,2
ryanofsky,55
al-maisan,1
nopara73,23
RHavar,63
jnewbery,153
achow101,184
coinsmith,9
laanwj,3367
kristapsk,5
jb55,8
Sjors,106
sangaman,6
theuni,340
ReneFroger,3
assafadar,2
isghe,2
sdaftuar,70
molxyz,14
sipsorcery,28
yzhou61,3
eserlxl,3
Ali8668,1
teknari,2
sanket1729,2
DianJakaWidiawan,1
adminstratio,1
scravy,3
ohhmm,2
greenaddress,2
sanjays95,1
giaki3003,5
azetrom,1
AkioNak,14
mmortal03,11
kallewoof,27
practicalswift,31
Empact,23
unixb0y,1
alexander7567,1
alexeyneu,4
kirillkovalenko,7
NicolasDorier,69
Ayms,18
jmcorgan,9
domob1812,25
barryton999,1
funasty1985,7
leishman,2
Derek701,1
SearchAndDestroy,1
TheBlueMatt,409
thelukemccarthy,1
cryptozeny,1
h4x3rotab,1
rhinogroup,2
syrius01,1
jamesob,18
GusevVasily,3
DinoStray,1
nkostoulas,1
underdarkskies,1
bekarys0504,1
marcoagner,10
sergeyklay,3
FIVIL,1
melaxon,1
LucaPaterlini,2
crowdcoinChain,1
ZexiFangkong,1
NickyYangYang,2
jtimon,12
luke-jr,478
StayCoolDK,5
efvhi,4
neptunix,5
hxsquid,1
arminbusatlic,2
stefek99,9
HashUnlimited,6
ilozanof,1
zscole,2
Shtutnik,3
stacepellegrino,6
askari01,4
jsarenik,2
ianwaldrop,1
rikur,1
dooglus,224
supersammy7000,3
Varunram,15
passionofvc,5
doone57,5
BitcoinVegan,3
Stadicus,1
AlekSi,1
TheCharlatan,5
Fuzzbawls,2
Nino84,1
Amiga500,1
wodry,17
murrayn,3
linux-mining,7
recas,1
victorperin,3
undercoverGod,1
cruxby,1
Rspigler,2
grim-trigger,4
besoeasy,1
NickSiena,1
mustitz,1
nerdDan,4
wudigithub1,7
justinnease97,1
jeffrade,13
mruddy,18
rustyrussell,3
jl2012,8
brandonrninefive,1
angelagilhotra,6
MaherBTA,4
Foggyx420,1
gurtaj-project,1
laugh26,1
Xayaan,1
thotheolh,1
DeltaLeonis,3
skeees,7
kaykurokawa,1
annjieching,6
fivepiece,3
devfans,1
ghost,242
cdecker,12
nixbox,1
cyssxt,4
stevenroose,8
LaThortilla,2
hkjn,2
Aaahh,1
globaltoken,58
WillAyd,1
okayplanet,1
hanzou-x,2
buddilla,3
InserirAquiNome,2
jakubtrnka,1
glaksmono,5
razamobin,3
AdamSEY,5
Corsairs,1
arunsatyarth,1
lukepighetti,4
karel-3d,8
ilike2bottom40,1
Arezohayeman,1
pedrobranco,5
mcdallas,1
26rahulsingh,1
rockandruby,1
bigbrain,1
eklitzke,8
ValeryDubrava,2
GSPP,40
tmany,2
AlexGoldovsky,1
thijstriemstra,3
flack,13
Willtech,36
