Source,Target,Weight
MeshCollider,wuchiachih,3
sipa,wuchiachih,1
ch4ot1c,vinnyvoo,5
vinnyvoo,vinnyvoo,1
DocOBITCOIN,dmchess,1
hamnaz,promag,1
fanquake,hamnaz,1
bunnguyen2410,promag,1
MarcoFalke,bunnguyen2410,1
MarcoFalke,ken2812221,3
bunnguyen2410,e-nexus,4
MeshCollider,bunnguyen2410,1
jonasschnelli,msgilligan,1
Crypto2,ryanofsky,1
al-maisan,ryanofsky,1
al-maisan,promag,1
nopara73,promag,10
promag,promag,1
RHavar,promag,3
RHavar,RHavar,1
jnewbery,promag,1
jnewbery,nopara73,2
achow101,coinsmith,1
MarcoFalke,fanquake,1
RHavar,sipa,1
MarcoFalke,sipa,4
MarcoFalke,jnewbery,1
RHavar,jnewbery,1
RHavar,laanwj,1
laanwj,laanwj,4
kristapsk,laanwj,2
laanwj,promag,1
RHavar,kristapsk,1
kristapsk,promag,1
jb55,nopara73,1
jb55,sipa,1
jnewbery,sipa,1
MarcoFalke,nopara73,2
nopara73,sipa,2
Sjors,sangaman,1
sangaman,sangaman,1
jonasschnelli,theuni,2
fanquake,theuni,2
ReneFroger,assafadar,3
MarcoFalke,isghe,1
achow101,isghe,1
MarcoFalke,RHavar,1
RHavar,fanquake,1
fanquake,sdaftuar,1
RHavar,sdaftuar,1
ken2812221,molxyz,4
MarcoFalke,molxyz,2
molxyz,sipsorcery,8
molxyz,molxyz,3
MarcoFalke,yzhou61,1
eserlxl,yzhou61,5
Ali8668,teknari,1
MarcoFalke,teknari,2
MarcoFalke,MarcoFalke,6
MarcoFalke,sanket1729,3
laanwj,sanket1729,1
MarcoFalke,laanwj,4
DianJakaWidiawan,fanquake,1
ohhmm,scravy,2
ohhmm,sipa,1
scravy,sipa,1
MarcoFalke,ohhmm,1
jonasschnelli,laanwj,1
greenaddress,sanjays95,1
MarcoFalke,giaki3003,7
giaki3003,giaki3003,1
azetrom,sipa,1
AkioNak,laanwj,2
MarcoFalke,coinsmith,1
coinsmith,mmortal03,2
fanquake,ken2812221,3
fanquake,molxyz,1
AkioNak,kallewoof,3
AkioNak,AkioNak,1
AkioNak,practicalswift,2
practicalswift,practicalswift,3
Empact,practicalswift,1
Empact,ryanofsky,1
kallewoof,ryanofsky,1
kallewoof,kallewoof,1
Empact,kallewoof,1
AkioNak,Empact,1
kallewoof,practicalswift,3
MarcoFalke,practicalswift,1
MarcoFalke,ryanofsky,1
practicalswift,ryanofsky,3
alexander7567,ken2812221,2
alexeyneu,fanquake,1
alexeyneu,sipa,2
MarcoFalke,alexeyneu,1
alexeyneu,kirillkovalenko,3
NicolasDorier,NicolasDorier,1
Ayms,MarcoFalke,6
Ayms,fanquake,2
Ayms,sipa,1
Ayms,Ayms,2
jmcorgan,practicalswift,1
domob1812,jmcorgan,1
domob1812,promag,3
practicalswift,promag,1
domob1812,practicalswift,1
MarcoFalke,domob1812,1
MarcoFalke,funasty1985,5
funasty1985,sipa,3
funasty1985,funasty1985,1
domob1812,funasty1985,1
domob1812,sipa,1
leishman,sipa,2
MarcoFalke,leishman,1
funasty1985,ken2812221,1
achow101,sipa,1
Derek701,SearchAndDestroy,1
SearchAndDestroy,TheBlueMatt,1
TheBlueMatt,laanwj,1
MarcoFalke,thelukemccarthy,1
MarcoFalke,cryptozeny,1
MarcoFalke,rhinogroup,3
MarcoFalke,syrius01,1
sipa,syrius01,1
fanquake,isghe,1
fanquake,jonasschnelli,2
Sjors,fanquake,2
jamesob,ken2812221,1
GusevVasily,MarcoFalke,2
GusevVasily,GusevVasily,1
GusevVasily,TheBlueMatt,1
MarcoFalke,TheBlueMatt,1
kallewoof,laanwj,1
achow101,kallewoof,1
DinoStray,jonasschnelli,1
jonasschnelli,nkostoulas,1
bekarys0504,fanquake,1
Sjors,achow101,1
Sjors,ken2812221,7
Sjors,Sjors,4
MarcoFalke,Sjors,3
jonasschnelli,jonasschnelli,1
MarcoFalke,jonasschnelli,3
MarcoFalke,marcoagner,1
domob1812,marcoagner,1
domob1812,domob1812,1
ken2812221,sergeyklay,3
sergeyklay,sergeyklay,1
FIVIL,fanquake,1
jonasschnelli,melaxon,1
MeshCollider,melaxon,1
MeshCollider,promag,1
Sjors,laanwj,1
laanwj,theuni,1
Sjors,theuni,1
Sjors,jonasschnelli,1
LucaPaterlini,MarcoFalke,2
LucaPaterlini,sipa,2
MarcoFalke,crowdcoinChain,1
crowdcoinChain,jonasschnelli,1
MarcoFalke,sipsorcery,1
ZexiFangkong,promag,1
ZexiFangkong,fanquake,1
MarcoFalke,jtimon,1
StayCoolDK,efvhi,1
efvhi,sipa,3
