Id,Label,timeset,pageranks,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,clustering,triangles
Diapolo,Diapolo,,0.020479,0,8,0.484778,0.530131,0.072489,0.336575,0.024501,548
laanwj,laanwj,,0.080363,1,8,0.603694,0.70001,0.45757,1,0.006051,1881
sipa,sipa,,0.039701,12,8,0.530316,0.596449,0.17982,0.614837,0.014942,1321
jonasschnelli,jonasschnelli,,0.025708,11,8,0.503377,0.552282,0.117847,0.427542,0.024443,868
MarcoFalke,MarcoFalke,,0.026432,10,8,0.502156,0.553525,0.11172,0.43778,0.024102,928
luke-jr,luke-jr,,0.016861,2,8,0.487186,0.527599,0.053465,0.365727,0.042272,751
rebroad,rebroad,,0.007526,12,8,0.470336,0.497406,0.018705,0.244367,0.10815,414
theuni,theuni,,0.009832,1,8,0.474408,0.504098,0.03074,0.261068,0.075093,442
gmaxwell,gmaxwell,,0.014474,0,8,0.475376,0.514583,0.048539,0.307935,0.043323,558
TheBlueMatt,TheBlueMatt,,0.01604,6,7,0.487314,0.524965,0.071452,0.334328,0.042922,661
dooglus,dooglus,,0.004328,10,8,0.461824,0.483584,0.013795,0.176729,0.194265,210
ghost,ghost,,0.00749,7,8,0.471407,0.496521,0.030754,0.214528,0.095886,303
gavinandresen,gavinandresen,,0.01551,8,8,0.479537,0.517589,0.06045,0.293985,0.037782,505
paveljanik,paveljanik,,0.007802,11,8,0.461024,0.490562,0.019756,0.213973,0.079123,296
fanquake,fanquake,,0.018927,3,8,0.483394,0.524942,0.084496,0.304252,0.028763,511
jgarzik,jgarzik,,0.00712,8,8,0.459206,0.487789,0.017135,0.20925,0.095253,301
int03h,int03h,,0.001226,5,9,0.413816,0.438743,0.001419,0.080829,0.351648,32
jnewbery,jnewbery,,0.006149,3,8,0.454501,0.482377,0.016352,0.190209,0.113481,282
ciyam,ciyam,,0.000585,12,9,0.41884,0.441347,0.000323,0.070356,0.666667,10
achow101,achow101,,0.00707,10,8,0.459206,0.487503,0.018632,0.202411,0.095253,301
unsystemizer,unsystemizer,,0.002716,11,8,0.435077,0.459206,0.003598,0.124279,0.221505,103
yellowcoin,yellowcoin,,0.000324,6,8,0.389504,0.412024,0,0.040254,1,3
RHavar,RHavar,,0.001998,10,8,0.444524,0.466274,0.000582,0.140315,0.483333,145
morcos,morcos,,0.002734,10,8,0.4458,0.468823,0.002573,0.153548,0.322638,181
cozz,cozz,,0.001752,12,9,0.414092,0.439128,0.003553,0.087552,0.280702,48
dcousens,dcousens,,0.003067,11,8,0.451527,0.474012,0.003662,0.156616,0.235736,157
burger2,burger2,,0.000957,2,9,0.405529,0.430334,0.000791,0.063051,0.377778,17
dexX7,dexX7,,0.002098,7,8,0.439387,0.461801,0.003222,0.122034,0.318841,88
Sjors,Sjors,,0.003935,3,8,0.45898,0.481124,0.009286,0.173037,0.21256,220
sdaftuar,sdaftuar,,0.00265,7,8,0.449783,0.471686,0.001828,0.154691,0.323864,171
ryanofsky,ryanofsky,,0.002099,3,8,0.440113,0.462588,0.002605,0.117207,0.316667,95
dscotese,dscotese,,0.000636,0,9,0.410805,0.434807,0.000008,0.069746,0.857143,18
super3,super3,,0.001166,5,9,0.410352,0.435433,0.000296,0.076021,0.384615,30
schildbach,schildbach,,0.001012,0,8,0.411713,0.435159,0.000534,0.071303,0.418182,23
promag,promag,,0.004735,3,8,0.444524,0.471597,0.01107,0.159475,0.144654,207
Michagogo,Michagogo,,0.001258,7,9,0.414553,0.439549,0.001739,0.085751,0.395604,36
itoffshore,itoffshore,,0.001128,1,9,0.411804,0.436507,0.000874,0.076695,0.363636,24
dennis97519,dennis97519,,0.000249,0,9,0.383412,0.406197,0,0.033465,1,1
rofl0r,rofl0r,,0.000806,0,9,0.409631,0.434047,0.000433,0.071039,0.638889,23
agravier,agravier,,0.000329,0,9,0.357856,0.377301,0,0.026341,1,3
fresheneesz,fresheneesz,,0.001718,3,8,0.429461,0.452828,0.003966,0.101193,0.350877,60
lovesh,lovesh,,0.000392,12,9,0.344235,0.360796,0.000012,0.023255,0.5,3
